How did Lincoln handle Fort Sumter?	He didn't send troops, he made the South decide whether to attack or not.
What was Antietam?	It was a battle in Maryland, where Lee wants a Northern victory for Euro support.&nbsp;&nbsp;McClellan gets repromoted, and actually beats the Confederates.&nbsp;&nbsp;He doesn't pursue though, so Lincoln removes him.
What were the <i>Monitor and Merimac</i>?	Ironclads.&nbsp;&nbsp;The Southern Merimac owned up, but finally the North produced the Monitor, which challenged the Merrimac.
What was the Battle of Shiloh?	In Western side of the war, Grant was surprised by Johnston.&nbsp;&nbsp;Grant won though, they could not keep him from taking the Mississippi.
Who was David Farragut?	The captain of the Union navy.
What was the Trent Affair?	A British mail boat called the Trent, went to the South. John Slidell and James Mason were on it when the boat was captured by the Union.&nbsp;&nbsp;The Union keeps the boat, and Britain threatens war.&nbsp;&nbsp;Lincoln lets the boat go to keep Britain out.
What was the <i>Alabama</i>?	A Southern vessel, purchased from Britain, that captured tons of Union ships.
What were the Confiscation Acts?	The first said that the contraband used against the Union could be kept by them (slaves).&nbsp;&nbsp;The second said that slaves of people engaged in the fight against the Union were free, and it allowed for Africans to join the war.
What was the Emancipation Proclamation?	Lincoln said all slaves in rebellion states free.&nbsp;&nbsp;Made the war for the purpose of freeing the slaves.&nbsp;&nbsp;Didn't really do anything though.
What was the Thirteenth Ammendment?	Abolished slavery.&nbsp;&nbsp;Wasn't passed until 1865 though.
What was the purpose of the Battle of Gettysburg?	Lee wanted a victory in the North for momentum and European help.
How did the Battle of Gettysburg turn out?	Pickett's charge failed, despite thinking it would work.&nbsp;&nbsp;Tons of people died, and it turned the war in favor of the Union.
How did the North get troops?	Conscription.&nbsp;&nbsp;20-45 males for unknown period of time; unless they had a substitute, $300, medical or moral issue, or a vital job.
How did the South get troops?	Conscription.&nbsp;&nbsp;Men between 18-35 for three years (later pushed to 45); unless vital job, provide substitute, $500, had at least 20 slaves
What was Vicksburg?	Grant seiges Vicksburg for seven weeks.&nbsp;&nbsp;On July 4 (same day as Gettysburg finishes) he takes it down.&nbsp;&nbsp;Gives control of Mississippi to Union, and cuts states off from Confederacy.
Where did Sherman's March go?	He went from Tennessee to Georgia and South Carolina.
What were Sherman's tactics?	Destroy everything!&nbsp;&nbsp;The world is destroyed after him, and tries to break down morale of the Confederacy.
How did Lincoln get chosen for the Election of 1864?	The War Democrats merged with the Republicans, and they chose Lincoln but only if he chose a War Democrat VP.&nbsp;&nbsp;Andrew Johnson.
Who did the Democrats pick for the Election of 1864?	George McClellan
Who won the Election of 1864, and by how much?	Lincoln.&nbsp;&nbsp;Own in Electoral College; closer in popular vote.
Where did Lee surrender to Grant and when??	Appomattox Court House, on April 9,1865
Who were the Copperheads?	The Democrats who opposed the war.
What was Ex Parte Milligan (1866)?	Court case.&nbsp;&nbsp;They said that people were treated unfairly in Indiana (no trial).&nbsp;&nbsp;Doing this could only be done during extreme times.
Were draft riots common during the Civil War?	Somewhat.&nbsp;&nbsp;A lot of Irish people rioted in New York.
What was The Morrill Tariff Act (1861)?	It raised tariffs to giver America moneybags, and it started the Republican idea of high tariffs.
What was The Homestead Act (1862)?	It gave 160 acres of to anyone who would farm on the Great Plains for five years.
What was the Morrill Land Grant Act (1862)?	It encouraged states to use the sale of federal land grants to maintain agricultural and technical colleges.
What was the Pacific Railway Act (1862)?	It authorized the building of a transcontinental railroad over a northern route from California.
How did the first Native Americans reach America?	Through the Berring Straight about 40,000 years ago.
Who were some popular North American tribes?	The Sious; Pawnee; Pueblo; Adena; Hopewell; Mississippian; Iroquois.
How did the Northern tribes survive?	Most were nomadic.&nbsp;&nbsp;The Iroquois were the only permanent civilization in the North.
Who were the Inca?	They were Natives in the Andes in South America.&nbsp;&nbsp;They had built a nice road system.
Who were the Maya?	They were in Central America.&nbsp;&nbsp;They made the calendar, writing system, pyramid.
Who were Aztec?	A warrior Native tribe in Mexico.&nbsp;&nbsp;They had lots of sacrifice, agriculture, and voodoo.
What caused Europe to want to explore?	Improvements in technology, religion, trade, and development of nation states.&nbsp;&nbsp;(3 G's.)
What technology helped spur exploration?	The Renaissance.&nbsp;&nbsp;Compass, gunpowder, new shipbuilding techniques, mapmaking, printing press.
Who were the leaders of Spain after defeating the Moors?	Ferdinand and Isabella.
Why did Europe need to find a new route to China?	The Ottoman Turks took Constantinople, a major route to China?
Who was Henry the Navigator?	"From Portugal, he went south around Africa, and had a route to the ""Indies"".&nbsp;&nbsp;First explorer."
Who was Christopher Columbus?	An explorer funded by Spain to go to the New World.&nbsp;&nbsp;He finds America.&nbsp;&nbsp;He wants money and glory.
Who was Amerigo Vespucci?	The person America was named after.
How was South America divided?	The Pope gave Portugal (Brazil) and Spain the West.
What was the Treaty of Tordesillas (1494)?	Moved divide line a few degrees west to establish Portugal has Brazil.
Who was Ferdinand Magellan?	First circumnavigation.
Who was Hernan Cortés?	Took the Aztecs.
Who was Fransisco Pizzaro?	Took the Incas.
What was the encomienda system?	The king of Spain gave land and Indians to Spaniards.
What was the asiento system?	The Spanish could buy slaves, but they had to pay a tax to Spain for them.
Who was John Cabot?	The first explorer for England, he went to Newfoundland.
Who was Giovanni da Verrazano?	The first French explorer.&nbsp;&nbsp;He wanted to find a passage through North America to Asia.
Who was Samuel De Champlain?	The founder of Quebec.
Who was Henry Hudson?	A Dutch hired explorer who discovered New York (Amsterdam).
What were joint-stock companies?	British people pooled their money together to support a tradiving venture.
Why did England want to start exploring?	Owned Spain, Natives were gone from the coast, population boom, religious persecution, need farm land
What was the first attempt at settlement for England?	Roanoke.&nbsp;&nbsp;It failed. Where are settlers now?
When was Jamestown founded?	1607
Who founded Jamestown?	The Virginia Company.
What saved Jamestown?	Tobacco.&nbsp;&nbsp;Didn't have much food though.&nbsp;&nbsp;John Smith led them, while John Rolfe got the tobacca with Pocahontas (sp?).
How did Jamestown become a royal colony?	Virginia Company went bankrupt.
Who founded the Plymouth Colony?	Puritans.&nbsp;&nbsp;They were pilgrims and separatists.
What was the Mayflower Compact?	Signed aboard the Mayflower, decided to make decisions by majority.&nbsp;&nbsp;One of the first constitutions in America.
How was Massachusetts Bay founded?	The Massachusetts Bay Company (Puritans) led by John Winthrop found Boston.
What was the Great Migration?	Huge movement of people from England led by John Winthrop.&nbsp;&nbsp;They went to Massachussetts Bay.
What was the Virginia House of Burgesses?	The first representative assembly in America (Virginia).
What were corporate colonies?	(Jamestown), they were operated by joint-stock companies.
What were royal colonies?	(Virginia after 1624) They were under the direct rule of the king.
What were proprietary colonies?	(Maryland, Pennsylvania) individuals given a charter by the king
What were the Chesapeake Colonies?	Maryland and Virginia.
Who ruled over Maryland?	Lord Baltimore, he died and then gave it to his son, Cecil Calvert.
What was the Act of Toleration?	In Maryland, it allowed all<i> Christian</i> freedom.
What economic problems did Virginia face? pre rev war	Tobacco prices fluctuated too much.
What was Bacon's Rebellion?	Nathaniel Bacon, and other West Virginians didn't like how William Berkeley was running it.&nbsp;&nbsp;Too many native attacks.&nbsp;&nbsp;They attacked Berkeley with some success, then Bacon died.
What were the effects of Bacon's Rebellion?	Showed the sharp class differences.&nbsp;&nbsp;Example of colonial resistance to royal control.
What was an indentured servant?	A master pays a persons passage to America, then they work for a certain amount of time.
What was the headright system?	Virginia gave 50 acres of land to anyone who came to Virginia, or anyone who paid for another's passage.
Who was Roger Williams?	He wants the Church and State separate.&nbsp;&nbsp;He aggravates John Winthrop, and goes to Rhode Island where he starts Providence.&nbsp;&nbsp;He's actually nice to the Natives, and allows religious toleration.
Who was Anne Hutchinson?	She got kicked out by Winthrop for following antinomianism.&nbsp;&nbsp;She founded Portsmouth, which later joined with Providence to form Rhode Island.
What was antinomianism?	The idea that faith alone could save someone.
Who was Thomas Hooker?	He founded Connecticut and Hartford by leaving Boston.
What were the Fundamental Orders of Connecticut (1639)?	Made a representative government in Connecticut.&nbsp;&nbsp;First written constitution in America.&nbsp;&nbsp;Governor chosen by legislature.
Who was John Davenport?	He found New Haven in Connecticut.
What formed Connecticut?	New Haven and Hartford combined.
How did New Hampshire form?	The king cut a piece of the Massachusetts Bay off.
What was the halfway covenant?	It allowed for those who weren't that religious in New England to stay part of the faith.&nbsp;&nbsp;It was to keep the youth in the faith.
What was the new England Confederation?	New England joined together to stay safe from Europeans and Natives.&nbsp;&nbsp;Also for boundary disputes and runaway servants.
What was the effect of the New England Confederation?	First time unified colonial action.
Who was Metacom?	The chief of the&nbsp;&nbsp;Wampanoags.
What was King Phillip's War?	Metacom tries to&nbsp;&nbsp;attack New England.&nbsp;&nbsp;The Wampanoag get defeated after pwning up.
What were the Restoration Colonies?	The Carolinas, New York, and New Jersey
How did South and North Carolina differ?	The South had tons of slaves.&nbsp;&nbsp;They had a ton of rice for their economy.&nbsp;&nbsp;The North was a lot smaller plantations (tobacco farms).
How was New York formed?	Charles II sends the Duke of York to take over the Dutch area.&nbsp;&nbsp;He does, and is relatively nice.&nbsp;&nbsp;James II (Duke of York) tried to tax without representation.
How was New Jersey formed?	The king gave John Berkley and&nbsp;&nbsp;George Carteret the land.&nbsp;&nbsp;They just sold it off though.
How was Pennsylvania formed?	The Quakers took it.
Who were the Quakers?	They were peaceful people.&nbsp;&nbsp;They had equality for men and woman, and they believed in the person not the Bible.&nbsp;&nbsp;They were persecuted.
Who was William Penn?	A Quaker who was given Pennsylvania because the King owed him.
"What was ""The Holy Experiment""?"	Penns idea to provide a religious refuge for Quakers and others, put liberal ideas into the government, and get money for himself
What was the Frame of Government (1682-1683)?	It guaranteed in Pennsylvania the a representative assembly elected by landowners.
What was the Charter of Liberties?	In Pennsylvania it guaranteed freedom opf worship for everyone and unrestricted immigration.
How was Deaware formed?	Penn gave the three lower counties Pennsylvania their own assembly.&nbsp;&nbsp;They formed Delaware.
Why was Georgia formed?	To be a buffer between Florida and South Carolina.&nbsp;&nbsp;Also a sending place of convicts from England.
Who was the governor of Georgia?	James Ogelthorpe.
What was mercantilism?	The idea that coloneis only exist to give to the parent country.
What were the Acts of Trade and Navigation?	They said: trade only with English or colonial ships and crews; all imports come from England; all exports to England
What were the positive effects of the Navigation Acts?	New England shipbuilding goes up; Chesapeake tobacco has a monopoly in England; England protects the colonies
What were the negatives of the Trade and Navigation Acts?	Colonial manufacturing limited; Cheseapeake farmers didn't get much for their crops; colonists had to pay a lot for imports.
What was the Dominion of New England?	King James II merged New England, New Jersey, and New York.&nbsp;&nbsp;They tried to limit colonial power.&nbsp;&nbsp;After the Glorious Revolution, the Dominion fell apart.
Who was Sir Edmund Andros?	He governed the Dominion of New England.
What was the Triangular Trade?	Rum from New England to West Africa.&nbsp;&nbsp;Slaves go to the Carribean.&nbsp;&nbsp;The sugar goes to New England for rum.
Why did the slave trade grow?	Reduced migration from English; the slaves were a dependable work force; the slaves were cheap
What was the Middle Passage?	The passage from Africa to the Carribean.&nbsp;&nbsp;Many slaves die on the way.
What immigrants came to America?	Few English, lots of German immigrants, Scotish Irish, Huguenots, Dutch, and Swedes.&nbsp;&nbsp;Africans the most.
Where did most of the immigrants settle?	The middle colonies (Pennsylvania, New York, New Jersey, Maryland, and Delaware)
What culture dominated the colonies?	English.
How did the colonies govern themselves?	Self-government.&nbsp;&nbsp;They each had a representative assembly.&nbsp;&nbsp;The governor either chosen by king, people, or proprietor.
To what degree of religious toleration was there?	Some colonies had more than others.&nbsp;&nbsp;All had some toleration though.
Did the colonies have hereditary aristocracy?	No.&nbsp;&nbsp;Social classes did develop though.&nbsp;&nbsp;People had more social mobility though.
What was the colonial family like?	Many people married young and had large families.&nbsp;&nbsp;Men usually did politics, landowning, and power.&nbsp;&nbsp;Women bore lots of children, did the housework,&nbsp;&nbsp;worked on farm, and took care of the kids.
What was substinence farming?	Providing enough to get by.
Did the&nbsp;&nbsp;colonies have a good monetary system?	No most done through trade, gold and silver popular trade items.
What Churches did a lot of people belong to?	Mostly Protestant. A lot of Presbyterians, Dutch Reformed Churche, Lutherans, Mennonites, Quakers, Congregational Church.
What was the Great Awakening?	A new fire being lit in religion.&nbsp;&nbsp;Told to stop sining, confess sins, and be emotion to not go to Hell.
Who was Jonathan Edwards?	"Initiated the Great Awakening in Massachusetts with ""Sinners in the Hands of an Angry God"".&nbsp;&nbsp;People had to repent or go to hell."
Who was George Whitefield?	An English man who preached the Great Awakening.&nbsp;&nbsp;People needed to openly profess themself, and they didn't need a minister.
What were the effects of the Great Awakening?	Divided the Old and New Lights.&nbsp;&nbsp;New Churches gained a lot of popularity.&nbsp;&nbsp;Lots moree religious diversity, and a call for separation of Church and State.
What was Poor Richard's Almanack?	Benjamin Franklin's book that was popular back then.
What was education like in the 18th century?	Very little.&nbsp;&nbsp;Some higher instutions like Harvard and Yale were opened up.
What new professions opened up for people?	Physicians, reverends, lawyers
What was the Zenger Case?	John Peter Zenger critized the New York governor.&nbsp;&nbsp;Andrew Hamilton argued that it was okay because it was the truth.&nbsp;&nbsp;The jury let him go, and it encouraged others to criticize more.
How were the colonial legislatures formed?	The bottom is voted by the people.&nbsp;&nbsp;The upper is chosen by the king or governor.
How did town meetings affect government?	They were the biggest form of government in the North where they often had small towns.
What were county&nbsp;&nbsp;governments?	Usually a sheriff in the South was the peace keeping person, not town meetings like the North.
How was the democracy limited in America?	White men with property were the only voters.&nbsp;&nbsp;Women, slaves, landless men, religious restrictions all kept one from voting.
Where was the French and Indian War fought.	In the colonies.&nbsp;&nbsp;France and England had to send troops over there.
How did the French and Indian War begin?	French were building forts on the Ohio River Valley to halt westward movement of British colonies.
Who do the English send to take over the French and Indian War in the colonies?	William Pitt
How does Pitt prepare the colonies?	He plans strategy, appoints peeople, and uses impressment.
What is impressment?	Forced enlistment.
What did George Washington do during the French and Indian War?	He tried to attack Fort Duquesne, but failed.
What was the Albany Plan of Union?	Benjamin Franklin wrote it, it would be an intercolonial government and a system for recruiting troops and getting taxes.
What was the effect of the Albany Union Plan?	It failed, but it was a precursor to Revolution working together.
Who was Edward Braddock?	A Virginian general that tried to attack Fort Duquesne, but failed.
What was the Peace of Paris?	Ended the French and Indian War.&nbsp;&nbsp;It gave Great Britain French Canada and Florida.&nbsp;&nbsp;Spain got French western territory and Louisiana for giving up Florida.
What was salutary neglect?	British empire ignores the colonies because they're not useful at that moment.
What did George III, and Parliament (the Whigs at the time) do?	They wanted to use the colonies more.&nbsp;&nbsp;They wanted to make the colonies a cost of maintaining the British empire.
What was Pontiac's Rebellion (1763)?	Chief Pontiac tried to attack the colonies.&nbsp;&nbsp;They didn't want the colonists to move west anymore.&nbsp;&nbsp;The British sent troops to destroy the Natives.
What was the Proclamation of 1763?	Colonists couldn't go west of the Appalacian Mountains.&nbsp;&nbsp;Didn't really enforce it, but the colonists were crazy if they did go.&nbsp;&nbsp;This also angered the colonists.
What was the Sugar Act of 1764?	Put a tax on sugar and other things to raise money for the Crown.
What was the Quartering Act of 1765?	It required colonists to house and feed British soldiers stationed in the colonies.
What was the Stamp Act of 1765?	Instituted by Lord Grenville, the Stamp Act put a tax on all stamps (paper stuff).&nbsp;&nbsp;This was the first direct tax.
How did people respond to the Stamp Act?	Everyone hated it so much.&nbsp;&nbsp;Taxation without representation.
Who was Patrick Henry?	He was a part of the House of Burgesse, and wanted Britain to recognize the colonists
What was the Stamp Act Congress?	Representatives met together to form it in New York.&nbsp;&nbsp;They said that only the elected representatives could pass taxes.
Who were the Sons and Daughters of Liberty?	Violent colonists who rebelled against Britain.
What was the Declaratory Act (1766)?	Grenville got replaced and Parliament repealed the Stamp Act.&nbsp;&nbsp;It also said that Parliament had the right to pass taxes and make laws in all cases.
What were the Townshend Acts?	New taxes collected on imports of tea, glass, and paper.&nbsp;&nbsp;Allowed for the search of homes for smuggled goods.&nbsp;&nbsp;Suspended New York Assembly for defying the Quartering Act.
What was a writ of assistance?	a general lisence to search anywhere, rather than a judge's warrant to search a specific property.
What was the Letters From a Farmer in Pennsylvania?	Written by Dickinson, they said that Parliament could regulate commerce but could not pass taxes without consent of representative assemblies.
Who were Samuel Adams and James Otis?	Two extreme revolutionaries.&nbsp;&nbsp;They organized a lot of boycotts.
What was the Massachusetts Circular Letter?	Written by Otis and Adams, this went to all colonies and asked for a petition to repeal Townshend Acts.&nbsp;&nbsp;Britain threatened Boston.
Who was Lord Frederick North?	He took over after Townshend, and he repealed the Townshend Acts.
What was the Boston Massacre?	People threw poop balls at soldiers.&nbsp;&nbsp;They killed five people, and everyone freaks out.
What was the Committee of Corespondence?	Samuel Adams started it.&nbsp;&nbsp;They would exchange letters and stuff about suspicious British activity.&nbsp;&nbsp;Virginia set up the Intercolonial Committees after.
What was the Gaspee incident?	A British ship crashed into the coast of Rhode Island.&nbsp;&nbsp;Disguised as Natives, colonists burned the ship.
What was the Tea Act of 1773?	Tax on tea.
What was the Boston Tea Party (1773)?	Disguised as Natives, colonists go and burn down a tea ship.
What were the Intolerable Acts?	As retaliation to the Boston Tea Party, North passed some Coercive Acts and Quebec Acts.
What did the Coercive Acts (1774) do?	The Port Act closed the port of Boston until tea paid for, the Massachusetts Government Acts reduced Massachusetts legislature power while governor power increase, Administration of Justice Act alowed royal officials accused to be tried in England, the Quartering Act allowed British troops to be quartered in private homes.
What was the Quebec Act (1774)?	It made roman Catholic the religion of Quebec.&nbsp;&nbsp;Increased Quebec's size and set up a government without a representative assembly.
What was enlightenment?	"A belief that the ""darkness"" of past ages could be corrected by using human reason in solving problems."
What was Deism?	The belief that God made the universe, but didn't interfer in human affairs.&nbsp;&nbsp;Trust human reason.
What was rationalism?	Trusting human reason to solve problems, and also science.
Who were John Locke and Jean-Jacques Rousseau?	They were Enlightenment thinkers who pushed Enlightenment to the max.
What was the purpose of the first Continental Congress (1774)?	How to react to the alarming threat to their rights and liberties.
Who were the radicals at the First Continental Congress?	John Adams, Samuel Adams, and Patrick Henry.
What was in the letter sent to the King from the First Continental Congress?	The want Intolerable Acts repealed; want representative but not seeking independence<br />They can set up rules but can’t run colonies<br />If Acts not repealed, boycott.<br />
Who was Paul Revere?	He warned William Dawes at Lexington to prepare for a fight at Concord.
Who were the Minutemen?	They were militia of the colonies.
What was in Lexington and Concord that the British wanted?	Military supplies
After defeating the Minutemen at Lexington, where do the British go?	Concord.
What happens at Concord?	Colonists pwn' it up.
Where was the Battle of Bunker Hill fought?	Breed's Hill
Who won the battle of Bunker Hil?	The Americans, they claimed.&nbsp;&nbsp;They did a huge number on the British troops.
Why was a Second Continental Congress called?	Lexington and Concord
What was the purpose of the 2nd Continental Congress?	To discuss new goals now that Britain is showing force
What did everyone agree on in the 2nd Continental Congress?	That war was necessary, however they disagreed on the purpose.
What were the Suffolk Resolves?	They were a product of the First Continental Congress. They called for a repeal of the Intolerable Acts by boycotting and preparing a military.
What was the Declaration of Rights and Grievances?	A product of the First Continental Congress, it was a petition to the king urging him to redress colonial rights.&nbsp;&nbsp;It also recognized Parliament's ability to regulate commerce.
What was the Declaration of the Causes and Necessities of Taking Up Arms?	It put George Washington as leader, and it called for colonies to give troops.
What was the Olive Branch Petition?	Written by John Dickinson, it gave England an ultimatum of sorts.&nbsp;&nbsp;Give us representation or we secede.
What was the Prohibitory act (1775)?	King George III claimed the colonies in rebellion.
Who wrote Common Sense and what did it do?	Thomas Paine.&nbsp;&nbsp;It&nbsp;&nbsp;pushed a lot of people towards wanting independence from England.
When was the Declaration of Independence resolution approved, and when is the Draft approved?	July 2, 1776 - resolution<br>July 4, 1776 - draft
Who wrote the Declaration of Independence?	Thomas Jefferson
What did the Declaration of Independence include?	Principles that justified the revolution (Life, liberty, and the pursuit of happiness natural rights), and also grievances against the king.
How did the Dec of Independence handle slavery?	No more trading and purchasing slaves, but this was removed to get more signeratures.
Who were the patriots?	Fiercely loyal people who wanted to fight in the war.&nbsp;&nbsp;They made up about 40% of the population.
Who were the Tories/Loyalists?	People who sided with Britain.&nbsp;&nbsp;They made up about 20-30%.
What was Valley Forge?	The place Washington retreated to after the beating he recieved in the first years of the war.
What were Continentals?	The colonial money.
Who commanded Bunker Hill for the British?	Gage.
Who took over for Gage?	Howe
What was the turning point in the Revolution?	Saratoga.
What was Saratoga?	Horatio Gates fights Burgoyne in the North.&nbsp;&nbsp;He owns and gets France to join America.
How did Howe handle the war?	He could've crushed the Americans, but he let them squirm.&nbsp;&nbsp;He failed.
How did the Americans finance the Revolution?	They sold war bonds.&nbsp;&nbsp;Borrowed money.&nbsp;&nbsp;Used Militia diplomats which were representatives that went abroad.&nbsp;&nbsp;France.
Where did phase III of the Revolution take place?	Britain wanted to go South where they wanted to get Loyalists and slaves to join them.
Where did the last battle of the Revolution take place?	It was in Yorktown.&nbsp;&nbsp;Clinton (the new British general) stayed in the North.
Who fought in Yorktown?	Cornwallis (Britain) versus Washington and Frenchies.
Who was the main American general in the South?	Nathanael Greene
How does America win at Yorktown?	They trap Cornwallis by land and sea.
How did the Treaty of Paris (1783) work?	Britain recognized American independence, Mississippi river western border of America, Americans get fishing rights in Canada, and Americans pay debts owed to British and Loyalists who they owned.
What were the Articles of Confederation?	American national unicameral government at first.
What powers did the AoC lack?	Tax, regulate trade, draft.&nbsp;&nbsp;States held most of the power.&nbsp;&nbsp;Also, foreigners hated them for not being able to pay or do anything.
What was the Land Ordinance of 1785?	It established a policy for surveying and selling western lands.&nbsp;&nbsp;It also set aside land for education.
What was the Northwest Ordinance of 1787?	It set the rules for creating new states.&nbsp;&nbsp;It also gave limited government to developing territories and banned slavery in the new regions.
What was Shay's Rebellion?	Daniel Shays led a revolt in Massachusetts against taxes.&nbsp;&nbsp;Massachussetts couldn't really handle it, neither could the national government.&nbsp;&nbsp;It showed that they needed a stronger national government.
Who was Mary McCauleey?	She was the famous woman who brought pitchers of water to soldiers on the battlefield.&nbsp;&nbsp;She also tried taking the spot of her dead husband.
Who was Deborah Sampson?	She tried impersonating a man to fight in the Revolutionary War.
Who was Abigal Adams?	She was a major advocate of woman's rights.
What was the Annapolis Convention?	It was a convention held between different states regarding the critical problems the Articles of Confederation was having.&nbsp;&nbsp;It led to the Constitutional Convention.
Where was the Constitutional Convention held?	Philadelphia.
What was the original purpose of the CC?	Just to revise the AoC.
Who led the CC?	George Washing.
What was the Virginia Plan?	Written by Madison, it favored larger states with more population.&nbsp;&nbsp;They favored a bicameral legislature.
What was the New Jersey Plan?	It was for small states and written by William Patterson.&nbsp;&nbsp;It offered equal representation from each state and the ability for Congress to tax.
What was the Great Compromise?	A bicameral legislature.&nbsp;&nbsp;House - Virginia.&nbsp;&nbsp;Senate - New Jersey.&nbsp;&nbsp;After approved, it added judicial and executive branches.&nbsp;&nbsp;It also ended slave trade in 1808, and counted slaves as 3/5 of a person.&nbsp;&nbsp;Signed in Sept 1787.
What was the commercial compromise?	It allowed for Congress to regulate trade, including putting tariffs on imports (not exports though).
Why was the electoral college system set up?	To avoid mob ruling.
Who were the main federalists?	Hamilton, Madison, and Jay
What did the federalists favor?	Loose interpretation of the Constitution, strong federal government, wealthy Northerners
Who were the main anti-federalists?	Samuel Adams, George Mason, Elbridge Gerry
What did the anti-federalists favor?	State rights, strict interpretation of the Constitution, Southern
What were the Federalist Papers?	Written by Hamilton, Jay, and Madison they tried to convince people to be federalist.
Why was the Bill of Rights added?	To appease the anti-federalists and get the Constitution ratified.
Who was George Washington's cabinet?	SS - Thomas Jeferson<br />ST - Hamilton<br />SW - Henry Knox<br />AG - Edmund Randolph<br />VP - John Adams
What was the Judiciary Act (1789)?	It established the Supreme Court with one chief and five other judges.&nbsp;&nbsp;They were to rule on the constitutionality of decisions by the state courts.
Who wrote the Report on Public Credit?	Alexander Hamilton
What were the goals of the Report on Public Credit?	Assumption of state debt, fund federal debt through bonds and loans and other nations, build the capital on the Potomac River; creates the National Bank shortly after.
Who promoted protective tariffs of infant industries?	Alexander Hamilton.
How did America respond to the French Revolution?	Many people wanted to join with the French (DR), while others preferred Britain (F)
What did Washington do about the French Revolution?	Neutrality to keep trade open.
Who was Citizen Genet?	He was the Frenh ambassador, who tried speaking directly to America for assistance.&nbsp;&nbsp;&nbsp;Washington kicks him out, but then lets him back in for political asylum.
What was Jay's Treaty (1794)?	John Jay was sent to make peace with Britain (they was takin our ships).&nbsp;&nbsp;It said that British people have to leave their forts, America can't aid the French, Britain would ease up on their attack, and they would have to agree to talk before acting on a problem.
How did America respond to Jay's Treaty?	They hated it.
What was Pinckney's Treaty (1795)?	Ambassador from America to Spain.&nbsp;&nbsp;Spain gave America the opportunity to use New Orleans as a trade port.&nbsp;&nbsp;Also solidified the Floridan border, and ceded some land from it.
What was the Treaty of Greenville?	After the battle of Fallen Timbers, the Natives fork over Ohio.
What was the Whisky Rebellion (1794)?	People angry over the excise tax on whiskey.&nbsp;&nbsp;Washington assembled a massive&nbsp;&nbsp;army to scare them.&nbsp;&nbsp;Resulted in people scared of Federalists and use of massive army.
What was the Public Land Act (1796)?	It established procedures for selling federal lands at reasonable prices.
What were the ideals of the Democratic-Republicans?	Strict interpretation of the Constitution, weak central government, pro-French, small army, agriculture, no tariffs
